ellipsis,text-center (2),text-center (6),text-center (7),text-center (8),text-center (9),text-center (10)
Nexto (Toxic),2,0,100,55,1,54
Nexto-EZ80,2,0,100,35,5,30
Element,2,0,100,35,7,28
Nexto-EZ70,2,0,100,32,6,26
Immortal,2,0,100,30,5,25
Nexto,2,0,100,21,0,21
Bumblebee,2,0,100,24,9,15
Botimus Prime,2,0,100,21,8,13
Wyrm,2,0,100,13,5,8
Bribblebot,2,0,100,12,4,8
Nexto-EZ60,2,0,100,16,9,7
Leaf,2,0,100,13,6,7
Codename Cryo,2,0,100,11,4,7
Tankar,2,0,100,14,8,6
Nebulous,2,0,100,7,2,5
Isopod,2,0,100,9,6,3
Necto,1,1,50,27,6,21
Nexto-EZ90,1,1,50,25,4,21
Monkey,1,1,50,23,11,12
Self-driving car,1,1,50,21,12,9
king.,1,1,50,33,26,7
SkyBot,1,1,50,14,7,7
Kamael,1,1,50,11,5,6
BitBot,1,1,50,16,12,4
Cheezer,1,1,50,11,7,4
VirxEB,1,1,50,10,6,4
Rapha,1,1,50,19,16,3
Wildfire,1,1,50,16,14,2
Engine,1,1,50,8,6,2
Cheesus,1,1,50,10,9,1
Oneborg,1,1,50,31,31,0
Atlas,1,1,50,7,7,0
BroccoliBot,1,1,50,6,6,0
DisasterBot,1,1,50,6,6,0
ElkBot,1,1,50,5,5,0
AdversityBot,1,1,50,7,8,-1
Raisin Bran,1,1,50,14,17,-3
Air Bud,1,1,50,6,9,-3
Aether,1,1,50,3,6,-3
Phoenix CS,1,1,50,8,12,-4
Beast from the East,1,1,50,4,8,-4
ReliefBot,1,1,50,8,13,-5
PenguinBot,1,1,50,6,12,-6
RedBot,1,1,50,12,25,-13
Vector,1,1,50,23,37,-14
St. Peter,1,1,50,4,18,-14
Molten,1,1,50,7,27,-20
NomBot_v1.0,1,1,50,11,32,-21
ABot,0,2,0,6,8,-2
rashBot,0,2,0,5,7,-2
RocketNoddles,0,2,0,4,6,-2
Nexto-EZ50,0,2,0,10,18,-8
ForumlarBot 1.5,0,2,0,3,11,-8
Nexto-EZ40,0,2,0,4,14,-10
CheeseBot,0,2,0,7,18,-11
Zoomlettet,0,2,0,3,14,-11
Aries,0,2,0,0,22,-22
Blind and Deaf,0,2,0,0,22,-22
Lanfear,0,2,0,0,22,-22
Seer v0,0,2,0,9,32,-23
FillamentBot,0,2,0,2,27,-25
Noob Blue,0,2,0,12,38,-26
Stick,0,2,0,3,31,-28
JoeyBot,0,2,0,1,34,-33
