Name,Dimension_1,Dimension_2
Nexto (Toxic),5.099637977907575,1.7815119153245724
Nexto-EZ80,3.682753404630367,0.8167442638956552
Element,3.5622556655501145,0.9699453427553748
Nexto-EZ70,3.4461211708227375,0.7026693319532652
Immortal,3.3887811308511937,0.49895181160857227
Nexto,3.1608753857493155,-0.456077299657473
Bumblebee,2.7950189241556793,0.42400302658350086
Botimus Prime,2.6788844294283023,0.15672701578139114
Wyrm,2.389275400002004,-0.5815425261675211
Bribblebot,2.390729814786296,-0.7217015560547964
Nexto-EZ60,2.3246632861090015,-0.08446489707583724
Leaf,2.3290265304618774,-0.504941986737663
Codename Cryo,2.331935360030461,-0.7852600465122137
Tankar,2.267323246137459,-0.2881824174205297
Nebulous,2.217255280087376,-1.192695087201599
Isopod,2.093848711438539,-0.7591759485673322
Necto,1.2447962776695587,0.36018504492080144
Nexto-EZ90,1.2477051072381427,0.07986698514625062
Monkey,0.7083741109455867,0.4889537802404226
Self-driving car,0.5305363318937907,0.4384373387554461
king.,0.3925856154020337,2.273546776262466
SkyBot,0.420219496303581,-0.38947479159576487
Kamael,0.36433387111633025,-0.7333513418277328
BitBot,0.23656405811461712,0.12064488646835982
Cheezer,0.24383613203607687,-0.5801502629680166
VirxEB,0.24529054682036888,-0.720309292855292
Rapha,0.17195194422161453,0.6177225155600437
Wildfire,0.11606631903436376,0.27384596532807587
Engine,0.12770163730869938,-0.8474262737701265
Cheesus,0.06454393819998885,-0.4905076745657178
Oneborg,-0.026247641810269104,2.529432492496921
Atlas,0.008658313012738133,-0.8343842247976858
BroccoliBot,0.010112727797030048,-0.9745432546849612
DisasterBot,0.010112727797030048,-0.9745432546849612
ElkBot,0.01156714258132203,-1.1147022845722363
AdversityBot,-0.05159055652738862,-0.7577836853678276
Raisin Bran,-0.1822691990976856,0.37653060270281535
Air Bud,-0.17063388082335,-0.7447416363953869
Aether,-0.16627063647047408,-1.1652187260572127
Phoenix CS,-0.23379157993206057,-0.3878230371909784
Beast from the East,-0.22797392079489262,-0.9484591567400792
ReliefBot,-0.2940404494721872,-0.3112224977611203
PenguinBot,-0.35138048944373,-0.5149400181058129
RedBot,-0.7818490649303684,0.8622179372268453
Vector,-0.8580964970977069,2.4805678054167317
St. Peter,-0.8304626161961594,-0.18245376244149897
Molten,-1.1963190777897952,0.6976265637994749
NomBot_v1.0,-1.2623856064670897,1.334863222778434
ABot,-2.017737630657228,-0.8460340105706222
rashBot,-2.016283215872936,-0.9861930404578974
RocketNoddles,-2.0148288010886444,-1.1263520703451724
Nexto-EZ50,-2.385048507035156,0.17420534555762723
ForumlarBot 1.5,-2.3748676035451117,-0.8069078636532999
Nexto-EZ40,-2.496819757409657,-0.5135477549063084
CheeseBot,-2.56143187130266,-0.016470125814624596
Zoomlettet,-2.555614212165492,-0.5771062453637258
Aries,-3.213988532754009,-0.15497740129711313
Blind and Deaf,-3.213988532754009,-0.15497740129711313
Lanfear,-3.213988532754009,-0.15497740129711313
Seer v0,-3.2873271353527636,1.1830544071182225
FillamentBot,-3.3976439709429735,0.3551422767670113
Noob Blue,-3.47243698832602,1.8333331150696224
Stick,-3.5798449943476456,0.7251029249438609
JoeyBot,-3.8781805124796946,0.8277875623186005
